DATE;TIME;GAME;BET;ODDS;STAKE;STATUS;RESULT;TIPSTER;SPORT;BOOKIE
"2025-10-21";"13:38:00";"FC Barcelona - Olympiacos";"Match Result (1X2): FC Barcelona";"2.22";"540";"won";"659";"My bets";"Football";"Coolbet"
"2025-10-20";"16:56:00";"SønderjyskE - FC Fredericia";"Both Teams To Score: Yes";"2.25";"450";"lost";"-450";"My bets";"Football";"Coolbet"
"2025-10-20";"15:05:00";"Tabilo, A - Bublik, A";"Match Result: Bublik, A";"2.19";"350";"lost";"-350";"My bets";"Football";"Coolbet"
"2025-10-19";"15:12:00";"Getafe - Real Madrid";"Match Result (1X2): Real Madrid";"3.39";"395";"won";"944";"My bets";"Football";"Coolbet"
"2025-10-19";"14:40:00";"Zalaegerszegi TE - Puskas Akademia FC";"Both Teams To Score: Yes";"1.88";"350";"lost";"-350";"My bets";"Football";"Coolbet"
"2025-10-18";"17:34:00";"FC Bayern München - Borussia Dortmund";"Match Result (1X2): FC Bayern München";"3.20";"233";"won";"513";"My bets";"Football";"Coolbet"
"2025-08-17";"13:55:00";"FC Nantes - Paris Saint-Germain";"Match Result (1X2): Paris Saint-Germain";"4.58";"1000";"lost";"-1000";"My bets";"Football";"Coolbet"
"2025-08-16";"16:18:00";"Team Vitality - MongolZ";"Match Winner (2-way): Team Vitality";"1.81";"650";"lost";"-650";"My bets";"Football";"Coolbet"
"2025-08-16";"10:43:00";"Zhejiang - Shanghai Shenhua";"Both Teams to Score and Total Goals 2.5: Yes and Over 2.5";"1.89";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-08-15";"19:13:00";"Liverpool - Bournemouth";"Match Result (1X2): Liverpool";"2.38";"1000";"won";"1380";"My bets";"Football";"Coolbet"
"2025-07-13";"21:59:00";"Thailand Women - Canada Women";"Match Winner: Thailand Women";"1.89";"1450";"lost";"-1450";"My bets";"Football";"Coolbet"
"2025-06-30";"10:23:00";"Fearnley, J - Fonseca, J";"Match Result: Fonseca, J";"5.74";"740";"lost";"-740";"My bets";"Football";"Coolbet"
"2025-06-30";"00:47:00";"Brazil - Poland";"Match Winner: Poland";"2.63";"200";"lost";"-200";"My bets";"Football";"Coolbet"
"2025-06-29";"23:59:00";"Brazil - Poland";"Set Handicap (2 Way) 0 - 2.5: Brazil -2.5";"1.70";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-29";"20:37:00";"Brazil - Poland";"First Set Total Points Over/Under 44.5: Over 44.5";"1.95";"740";"won";"703";"My bets";"Football";"Coolbet"
"2025-06-29";"09:47:00";"Haugesund - Kristiansund BK";"Match Result (1X2): Kristiansund BK";"3.29";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-06-29";"05:10:00";"Ilia Topuria - Charles Oliveira";"Total Rounds Over / Under 1.5: Over 1.5";"1.65";"650";"lost";"-650";"My bets";"Football";"Coolbet"
"2025-06-29";"02:16:00";"United States - Poland";"Match Winner: Poland";"1.89";"1000";"won";"890";"My bets";"Football";"Coolbet"
"2025-06-28";"21:51:00";"Ilia Topuria - Charles Oliveira";"Fight Result (Draw No Bet): Ilia Topuria";"2.14";"960";"lost";"-960";"My bets";"Football";"Coolbet"
"2025-06-28";"11:11:00";"Bulgaria - Turkey";"Match Winner: Bulgaria";"2.83";"1150";"lost";"-1150";"My bets";"Football";"Coolbet"
"2025-06-20";"23:41:00";"Atlanta Dream - Washington Mystics";"Money Line: Atlanta Dream";"2.12";"980";"lost";"-980";"My bets";"Football";"Coolbet"
"2025-06-20";"17:22:00";"Natus Vincere - Team Vitality";"Match Winner (2-way): Team Vitality";"2.70";"1000";"lost";"-1000";"My bets";"Football";"Coolbet"
"2025-06-19";"17:39:00";"Team Spirit - MOUZ";"Match Winner (2-way): Team Spirit";"5.44";"800";"lost";"-800";"My bets";"Football";"Coolbet"
